codigo,descripcion,categoria,capitulo
A00,Cólera,,A00-B99
A00.0,"Cólera debido a Vibrio cholerae O1, biotipo cholerae",A00,A00-B99
A00.1,"Cólera debido a Vibrio cholerae O1, biotipo El Tor",A00,A00-B99
A00.9,"Cólera, no especificado",A00,A00-B99
A01,Fiebres tifoidea y paratifoidea,,A00-B99
A01.0,Fiebre tifoidea,A01,A00-B99
A01.1,Fiebre paratifoidea A,A01,A00-B99
A01.2,Fiebre paratifoidea B,A01,A00-B99
A01.3,Fiebre paratifoidea C,A01,A00-B99
A01.4,"Fiebre paratifoidea, no especificada",A01,A00-B99
A02,Otras infecciones debidas a Salmonella,,A00-B99
A02.0,Enteritis debida a Salmonella,A02,A00-B99
A02.1,Septicemia debida a Salmonella,A02,A00-B99
A02.2,Infecciones localizadas debidas a Salmonella,A02,A00-B99
A02.8,Otras infecciones especificadas como debidas a Salmonella,A02,A00-B99
A02.9,"Infección debida a Salmonella, no especificada",A02,A00-B99
A03,Shigelosis,,A00-B99
A03.0,Shigelosis debida a Shigella dysenteriae,A03,A00-B99
A03.1,Shigelosis debida a Shigella flexneri,A03,A00-B99
A03.2,Shigelosis debida a Shigella boydii,A03,A00-B99
A03.3,Shigelosis debida a Shigella sonnei,A03,A00-B99
A03.8,Otras shigelosis,A03,A00-B99
A03.9,Shigelosis de tipo no especificado,A03,A00-B99
A04,Otras infecciones intestinales bacterianas,,A00-B99
A04.0,Infección debida a Escherichia coli enteropatógena,A04,A00-B99
A04.1,Infección debida a Escherichia coli enterotoxígena,A04,A00-B99
A04.2,Infección debida a Escherichia coli enteroinvasiva,A04,A00-B99
A04.3,Infección debida a Escherichia coli enterohemorrágica,A04,A00-B99
A04.4,Otras infecciones intestinales debidas a Escherichia coli,A04,A00-B99
A04.5,Enteritis debida a Campylobacter,A04,A00-B99
A04.6,Enteritis debida a Yersinia enterocolitica,A04,A00-B99
A04.7,Enterocolitis debida a Clostridium difficile,A04,A00-B99
A04.8,Otras infecciones intestinales bacterianas especificadas,A04,A00-B99
A04.9,"Infección intestinal bacteriana, no especificada",A04,A00-B99
A05,"Otras intoxicaciones alimentarias bacterianas, no clasificadas en otra parte",,A00-B99
A05.0,Intoxicación alimentaria estafilocócica,A05,A00-B99
A05.1,Botulismo,A05,A00-B99
A05.2,Intoxicación alimentaria debida a Clostridium perfringens [Clostridium welchii],A05,A00-B99
A05.3,Intoxicación alimentaria debida a Vibrio parahaemolyticus,A05,A00-B99
A05.4,Intoxicación alimentaria debida a Bacillus cereus,A05,A00-B99
A05.8,Otras intoxicaciones alimentarias debidas a bacterias especificadas,A05,A00-B99
A05.9,"Intoxicación alimentaria bacteriana, no especificada",A05,A00-B99
A06,Amebiasis,,A00-B99
A06.0,Disentería amebiana aguda,A06,A00-B99
A06.1,Amebiasis intestinal crónica,A06,A00-B99
A06.2,Colitis amebiana no disentérica,A06,A00-B99
A06.3,Ameboma intestinal,A06,A00-B99
A06.4,Absceso amebiano del hígado,A06,A00-B99
A06.5,Absceso amebiano del pulmón (J99.8),A06,A00-B99
A06.6,Absceso amebiano del cerebro (G07),A06,A00-B99
A06.7,Amebiasis cutánea,A06,A00-B99
A06.8,Infección amebiana de otras localizaciones,A06,A00-B99
A06.9,"Amebiasis, no especificada",A06,A00-B99
